"","CASENUM","fire_indicator"
"233","201600018708","0"
"234","201600018709","0"
"235","201600018718","0"
"236","201600018726","0"
"237","201600018736","0"
"238","201600018749","0"
"239","201600018834","0"
"240","201600018835","0"
"241","201600018869","0"
"242","201600018870","0"
"243","201600018876","0"
"244","201600018885","0"
"245","201600018897","0"
"246","201600018902","0"
"247","201600018904","0"
"248","201600018905","0"
"249","201600018906","0"
"250","201600018910","0"
"251","201600018920","0"
"252","201600018979","0"
"253","201600018990","0"
"254","201600018995","0"
"255","201600019016","0"
"256","201600019035","0"
"257","201600019049","0"
"258","201600019059","0"
"259","201600019070","0"
"260","201600019075","0"
"261","201600019107","0"
"262","201600019122","0"
"263","201600019207","0"
"264","201600019253","0"
"265","201600019257","0"
"266","201600019270","0"
"267","201600019341","0"
"268","201600019368","0"
"269","201600019370","0"
"270","201600019371","0"
"271","201600019390","0"
"272","201600019407","0"
"273","201600019408","0"
"274","201600019411","0"
"275","201600019424","0"
"276","201600019425","0"
"277","201600019456","0"
"278","201600019478","0"
"279","201600019486","0"
"280","201600019487","0"
"281","201600019493","0"
"282","201600019496","0"
"283","201600019504","0"
"284","201600019540","0"
"285","201600019581","0"
"286","201600019594","0"
"287","201600019717","0"
"288","201600019736","0"
"289","201600019775","0"
"290","201600019783","0"
"291","201600019834","0"
"292","201600019871","0"
"293","201600019879","0"
"294","201600019885","0"
"295","201600019895","0"
"296","201600019897","0"
"297","201600019899","0"
"298","201600019906","0"
"299","201600019913","0"
"300","201600019919","0"
"301","201600019920","0"
"302","201600019925","0"
"303","201600019928","0"
"304","201600019939","0"
"305","201600019944","0"
"306","201600019949","0"
"307","201600019953","0"
"308","201600019954","0"
"309","201600019962","0"
"310","201600020000","0"
"311","201600020004","0"
"312","201600020009","0"
"313","201600020010","0"
"314","201600020013","0"
"315","201600020014","0"
"316","201600020021","0"
"317","201600020023","0"
"318","201600020026","0"
"319","201600020030","0"
"320","201600020034","0"
"321","201600020035","0"
"322","201600020036","0"
"323","201600020038","0"
"324","201600020039","0"
"325","201600020040","0"
"326","201600020041","0"
"327","201600020043","0"
"328","201600020046","0"
"329","201600020197","0"
"330","201600020200","0"
"331","201600020201","0"
"332","201600020206","0"
"333","201600020207","0"
"334","201600020216","0"
"335","201600020217","0"
"336","201600020218","0"
"337","201600020261","0"
"338","201600020280","0"
"339","201600020283","0"
"340","201600020291","0"
"341","201600020302","0"
"342","201600020303","0"
"343","201600020314","0"
"344","201600020323","0"
"345","201600020335","0"
"346","201600020355","0"
"347","201600020361","0"
